,flag,perclose,eye_total,mouse_total,node_total
0,0,2.055555555555556,4,0,0
1,1,14.333333333333334,20,1,8
2,0,0.0,0,0,0
3,0,0.5555555555555556,2,0,0
4,0,4.055555555555555,7,0,0
5,0,1.2222222222222223,2,0,0
6,0,0.33333333333333337,1,0,0
7,0,0.9444444444444444,2,0,0
8,0,1.0,3,0,0
9,0,0.5,1,0,0
10,0,0.0,0,0,0
11,0,5.055555555555555,7,0,0
12,0,2.2222222222222223,5,0,0
13,1,2.722222222222222,6,1,1
14,1,3.2222222222222223,6,1,1
15,1,10.61111111111111,10,1,8
16,0,3.277777777777778,7,0,0
17,1,45.44444444444444,84,0,1
18,1,34.22222222222222,65,2,3
19,1,24.38888888888889,39,5,5
20,1,70.72222222222221,78,10,4
21,1,40.27777777777778,81,8,5
22,1,49.611111111111114,82,0,0
23,1,30.88888888888889,59,0,0
24,1,21.166666666666668,40,0,0
25,1,22.055555555555557,36,0,0
26,1,36.333333333333336,61,1,3
27,1,35.72222222222222,57,9,12
28,1,49.666666666666664,66,18,32
29,1,81.72222222222221,90,25,49
30,1,71.5,116,0,0
31,1,88.83333333333333,56,0,0
32,1,83.22222222222221,69,0,0
33,1,75.77777777777777,83,0,4
34,1,94.05555555555556,50,0,0
35,1,93.83333333333333,72,0,0
36,1,85.44444444444444,80,0,0
37,1,83.33333333333334,72,0,0
38,1,94.22222222222221,48,0,0
39,1,97.05555555555556,42,0,0
40,1,66.33333333333333,64,1,2
41,1,36.27777777777778,89,0,0
42,1,61.77777777777778,78,0,0
43,1,77.66666666666666,100,0,0
44,1,62.61111111111111,124,0,0
45,1,36.666666666666664,72,0,0
46,1,25.77777777777778,45,0,0
47,1,49.77777777777778,101,0,0
48,1,25.666666666666664,46,0,1
49,0,12.777777777777777,17,0,0
50,1,16.333333333333332,25,2,1
51,1,16.555555555555557,26,1,6
52,1,23.22222222222222,31,0,0
53,1,26.055555555555554,45,0,0
54,0,5.944444444444445,9,0,0
55,1,13.5,18,2,2
56,0,11.61111111111111,27,0,0
57,1,16.055555555555557,22,3,6
58,1,20.11111111111111,23,2,6
59,0,13.555555555555557,27,0,1
