,flag,perclose,eye_total,mouse_total,node_total
0,1,24.27777777777778,16,6,5
1,1,0.5555555555555556,1,1,0
2,0,2.944444444444444,5,0,0
3,1,5.611111111111111,8,3,0
4,1,2.722222222222222,8,3,0
5,1,6.333333333333334,11,29,42
6,1,6.444444444444445,11,13,1
7,1,17.944444444444443,28,38,1
8,1,6.055555555555555,14,48,3
9,1,2.388888888888889,7,7,3
10,1,2.555555555555556,6,3,0
11,1,3.277777777777778,6,13,2
12,1,5.333333333333334,10,23,7
13,1,5.833333333333333,15,12,2
14,1,3.944444444444444,7,33,37
15,1,1.8888888888888888,4,13,3
16,1,13.055555555555557,28,27,0
17,1,6.166666666666667,9,9,1
18,1,4.944444444444445,7,7,5
19,0,7.388888888888889,15,0,0
20,1,1.8888888888888888,6,1,0
21,1,4.777777777777778,12,12,0
22,1,1.6666666666666667,3,44,0
23,1,1.8888888888888888,6,43,1
24,1,1.2222222222222223,4,22,2
25,1,1.8333333333333333,4,5,0
26,1,5.666666666666666,7,51,0
27,1,2.5,3,42,5
28,1,2.944444444444444,5,43,0
29,1,3.5555555555555554,5,37,0
30,1,2.2777777777777777,3,34,0
31,1,7.666666666666666,17,45,1
32,1,1.9444444444444444,7,46,0
33,1,9.944444444444445,21,41,0
34,1,6.222222222222222,13,27,0
35,1,3.0,9,19,0
36,1,2.388888888888889,6,19,0
37,1,4.055555555555555,14,24,0
38,1,5.777777777777778,14,28,0
39,1,5.111111111111112,13,51,0
40,1,11.333333333333332,24,31,1
41,1,2.2222222222222223,10,22,0
42,1,2.666666666666667,7,31,0
43,1,5.666666666666666,12,5,0
44,1,1.8888888888888888,7,23,0
45,1,3.5000000000000004,8,3,0
46,1,4.777777777777778,12,6,0
47,1,4.722222222222222,9,8,0
48,1,1.8333333333333333,5,2,0
49,1,4.555555555555555,14,3,0
50,1,3.5000000000000004,4,15,0
51,0,3.166666666666667,9,0,0
52,0,5.388888888888889,9,0,0
53,1,2.055555555555556,4,42,0
54,1,5.888888888888888,11,35,0
55,1,5.0,14,58,0
56,1,9.555555555555555,21,22,0
57,1,4.277777777777778,11,8,0
58,1,6.888888888888889,17,23,0
59,1,4.777777777777778,8,15,0
