,flag,perclose,eye_total,mouse_total,node_total
0,1,28.000000000000004,31,4,0
1,0,8.166666666666666,22,0,0
2,1,33.0,63,39,0
3,1,29.055555555555557,54,10,0
4,1,28.555555555555557,49,0,0
5,0,13.055555555555557,28,0,0
6,1,28.77777777777778,65,0,0
7,1,23.0,51,0,0
8,0,5.777777777777778,12,0,0
9,0,0.6666666666666667,2,0,0
10,0,5.666666666666666,13,0,0
11,0,8.777777777777777,18,0,0
12,0,10.944444444444445,15,0,0
13,1,37.388888888888886,78,0,0
14,1,35.388888888888886,58,0,0
15,1,21.166666666666668,42,0,0
16,0,5.277777777777778,10,0,0
17,0,0.0,0,0,0
18,0,1.6111111111111112,0,0,0
19,0,2.611111111111111,3,0,0
20,0,0.0,0,0,0
21,0,0.0,0,0,0
22,0,7.444444444444444,14,0,0
23,0,0.0,0,0,0
24,0,0.1111111111111111,0,0,0
25,0,0.1111111111111111,0,0,0
26,0,0.0,0,0,0
27,1,21.055555555555554,47,0,0
28,1,26.333333333333332,55,1,0
29,0,0.05555555555555555,0,0,0
30,0,8.777777777777777,7,0,1
31,1,21.722222222222225,28,0,0
32,1,21.833333333333332,15,0,0
33,1,39.22222222222223,38,0,0
34,1,15.777777777777777,15,0,0
35,0,9.555555555555555,6,0,0
36,0,13.777777777777779,23,0,0
37,0,12.222222222222221,17,0,0
38,1,16.72222222222222,23,0,0
39,1,40.77777777777778,49,0,0
40,1,63.888888888888886,78,0,0
41,1,83.38888888888889,68,0,0
42,1,40.0,37,0,0
43,1,60.0,66,0,0
44,0,5.5,7,0,0
45,0,1.4444444444444444,2,0,0
46,0,0.7222222222222222,2,0,0
47,0,2.944444444444444,3,0,0
48,0,14.444444444444443,20,0,0
49,1,46.111111111111114,59,3,1
50,0,13.833333333333334,21,0,0
51,1,39.22222222222223,60,7,0
52,1,36.27777777777778,66,0,0
53,1,30.5,54,2,0
54,0,9.666666666666666,23,0,0
55,1,23.22222222222222,34,1,3
56,1,24.444444444444443,45,3,2
57,1,33.55555555555556,68,2,1
58,1,34.55555555555556,68,0,0
59,1,30.055555555555557,38,0,0
