,flag,perclose,eye_total,mouse_total,node_total
0,0,0.6666666666666667,1,0,0
1,0,1.0555555555555556,3,0,0
2,0,1.8333333333333333,4,0,0
3,0,0.9444444444444444,3,0,0
4,0,1.4444444444444444,4,0,0
5,0,1.277777777777778,3,0,0
6,0,1.8888888888888888,6,0,0
7,0,0.2777777777777778,1,0,0
8,0,1.5555555555555556,4,0,0
9,0,1.6111111111111112,4,0,0
10,0,1.3333333333333335,4,0,0
11,0,0.7222222222222222,2,0,0
12,0,1.277777777777778,4,0,0
13,0,1.1666666666666667,3,0,0
14,0,0.16666666666666669,0,0,0
15,0,1.0555555555555556,3,0,0
16,0,1.1666666666666667,2,0,0
17,0,1.2222222222222223,4,0,0
18,0,2.555555555555556,7,0,0
19,0,1.4444444444444444,4,0,0
20,0,1.7777777777777777,5,0,0
21,0,1.2222222222222223,4,0,0
22,0,2.3333333333333335,7,0,0
23,0,2.3333333333333335,6,0,0
24,0,1.8888888888888888,7,0,0
25,0,1.0,3,0,0
26,0,1.0,3,0,0
27,0,1.5,5,0,0
28,0,3.6666666666666665,9,0,0
29,0,2.111111111111111,5,0,0
30,0,1.5555555555555556,5,0,0
31,0,1.5555555555555556,4,0,0
32,0,4.666666666666667,9,0,0
33,0,1.1666666666666667,4,0,0
34,0,0.9444444444444444,3,0,0
35,0,0.9444444444444444,3,0,0
36,0,1.0555555555555556,2,0,0
37,0,0.33333333333333337,0,0,0
38,0,0.8888888888888888,3,0,0
39,0,5.833333333333333,19,0,0
40,0,2.722222222222222,9,0,0
41,0,1.5555555555555556,6,0,0
42,0,0.7777777777777778,2,0,0
43,0,0.7777777777777778,3,0,0
44,0,5.0,10,0,0
45,0,1.4444444444444444,3,0,0
46,0,0.6111111111111112,1,0,0
47,0,1.1111111111111112,3,0,0
48,0,5.055555555555555,15,0,0
49,0,1.3333333333333335,3,0,0
50,0,2.7777777777777777,8,0,2
51,1,0.6666666666666667,2,1,1
52,0,0.33333333333333337,0,0,0
53,0,1.3888888888888888,5,0,0
54,0,1.3333333333333335,2,0,0
55,0,1.0,2,0,0
56,0,2.166666666666667,6,0,2
57,0,1.8888888888888888,2,0,0
58,0,0.7222222222222222,2,0,0
59,0,0.7777777777777778,2,0,0
