,flag,perclose,eye_total,mouse_total,node_total
0,0,3.5555555555555554,5,0,0
1,0,5.5,10,0,0
2,0,4.333333333333334,9,0,0
3,1,2.388888888888889,3,3,0
4,0,5.833333333333333,9,0,0
5,0,11.055555555555555,23,0,0
6,0,4.111111111111112,7,0,0
7,0,0.5555555555555556,0,0,0
8,0,1.0,2,0,0
9,0,4.388888888888888,5,0,0
10,0,11.0,15,0,0
11,0,2.666666666666667,5,0,0
12,0,4.888888888888889,11,0,0
13,0,4.333333333333334,6,0,0
14,0,0.8888888888888888,1,0,0
15,0,5.777777777777778,8,0,0
16,0,6.944444444444445,17,0,0
17,0,1.5555555555555556,3,0,0
18,0,1.277777777777778,2,0,0
19,0,1.6111111111111112,0,0,0
20,0,5.111111111111112,6,0,1
21,1,9.944444444444445,21,1,0
22,1,19.5,28,0,0
23,1,24.055555555555554,37,0,0
24,0,13.222222222222221,26,0,0
25,0,7.055555555555555,22,0,0
26,1,21.61111111111111,44,0,0
27,0,9.222222222222221,16,0,0
28,1,21.22222222222222,40,0,0
29,0,8.833333333333334,18,0,0
30,0,5.833333333333333,8,0,0
31,0,4.777777777777778,8,0,0
32,0,1.5,0,0,0
33,0,1.6666666666666667,0,0,0
34,0,2.166666666666667,4,0,0
35,0,6.444444444444445,12,0,2
36,0,2.611111111111111,3,0,0
37,0,0.9444444444444444,0,0,0
38,0,5.944444444444445,13,0,0
39,1,13.88888888888889,35,0,5
40,0,3.3333333333333335,5,0,0
41,0,4.222222222222222,8,0,0
42,0,10.11111111111111,14,0,2
43,0,1.7777777777777777,2,0,0
44,1,8.333333333333332,15,2,0
45,0,1.5,1,0,0
46,1,6.777777777777779,14,1,0
47,0,2.166666666666667,3,0,0
48,0,1.5555555555555556,0,0,0
49,0,0.3888888888888889,0,0,0
50,0,2.5,5,0,2
51,0,2.0,2,0,0
52,0,0.16666666666666669,0,0,0
53,1,2.055555555555556,2,3,3
54,0,1.7777777777777777,0,0,0
55,0,1.1111111111111112,1,0,0
56,0,2.388888888888889,4,0,0
57,1,2.611111111111111,3,5,0
58,0,1.7222222222222223,2,0,0
59,0,0.5,0,0,1
