,flag,perclose,eye_total,mouse_total,node_total
0,1,3.277777777777778,11,4,4
1,1,2.7777777777777777,6,40,40
2,1,3.5555555555555554,8,0,5
3,0,4.944444444444445,15,0,0
4,1,6.888888888888889,20,3,1
5,1,3.722222222222222,11,3,2
6,1,7.888888888888888,23,4,12
7,1,8.333333333333332,24,2,8
8,0,2.888888888888889,9,0,0
9,0,4.722222222222222,17,0,2
10,1,5.833333333333333,19,0,6
11,1,3.5000000000000004,12,0,4
12,1,8.11111111111111,22,0,6
13,0,3.7777777777777777,13,0,0
14,1,5.777777777777778,17,2,19
15,1,2.2777777777777777,8,1,6
16,1,3.4444444444444446,13,1,2
17,0,3.888888888888889,13,0,0
18,1,3.166666666666667,11,0,4
19,1,5.722222222222222,19,0,5
20,1,4.388888888888888,18,3,10
21,0,7.5,23,0,1
22,1,6.222222222222222,21,2,6
23,1,5.111111111111112,18,0,11
24,1,11.0,31,2,2
25,0,10.222222222222223,24,0,1
26,1,10.38888888888889,37,0,10
27,1,6.5,18,0,7
28,0,5.166666666666667,14,0,1
29,1,6.666666666666667,16,5,1
30,1,2.388888888888889,5,0,7
31,1,4.111111111111112,14,1,5
32,1,9.0,23,1,4
33,1,11.333333333333332,30,1,0
34,0,3.5000000000000004,13,0,0
35,0,4.444444444444445,13,0,0
36,1,4.722222222222222,7,0,4
37,0,3.166666666666667,10,0,0
38,1,3.7777777777777777,11,0,11
39,1,5.666666666666666,16,1,0
40,1,3.722222222222222,10,4,3
41,0,3.7777777777777777,13,0,0
42,0,4.777777777777778,18,0,0
43,0,5.0,19,0,0
44,0,11.222222222222221,30,0,0
45,0,10.0,24,0,0
46,1,15.277777777777779,40,1,1
47,1,12.11111111111111,29,4,2
48,1,14.61111111111111,29,1,2
49,0,5.888888888888888,17,0,1
50,0,12.5,27,0,1
51,1,8.666666666666668,26,1,1
52,0,7.555555555555555,23,0,0
53,1,8.444444444444445,25,0,3
54,0,5.0,18,0,0
55,1,9.166666666666666,28,1,0
56,0,4.0,11,0,0
57,0,5.277777777777778,12,0,0
58,0,5.388888888888889,18,0,0
59,1,6.055555555555555,14,0,3
