,flag,perclose,eye_total,mouse_total,node_total
0,0,4.555555555555555,10,0,0
1,0,9.833333333333332,18,0,0
2,1,28.888888888888886,32,0,0
3,1,43.611111111111114,42,0,0
4,1,26.38888888888889,41,0,1
5,1,32.44444444444444,45,1,0
6,1,34.5,43,0,0
7,1,31.555555555555554,39,2,4
8,1,12.11111111111111,24,1,3
9,1,15.055555555555555,31,2,10
10,1,12.11111111111111,29,2,3
11,1,10.5,27,5,6
12,1,53.333333333333336,64,3,10
13,1,27.666666666666668,48,18,8
14,1,25.555555555555554,40,32,9
15,1,34.77777777777778,39,11,12
16,1,20.72222222222222,38,24,11
17,1,35.22222222222222,45,6,3
18,1,25.222222222222225,44,6,12
19,1,31.555555555555554,40,23,6
20,1,25.833333333333336,46,13,10
21,1,22.38888888888889,45,23,14
22,1,11.555555555555555,18,28,0
23,1,13.722222222222221,32,13,0
24,1,17.666666666666668,34,3,6
25,1,16.666666666666664,17,2,2
26,1,25.944444444444443,29,2,6
27,1,22.72222222222222,31,3,4
28,0,13.722222222222221,27,0,1
29,1,16.5,29,4,3
30,1,15.055555555555555,31,13,3
31,1,6.166666666666667,12,48,32
32,1,16.333333333333332,22,4,2
33,1,14.000000000000002,30,14,7
34,1,15.444444444444445,31,24,9
35,1,29.5,39,28,28
36,1,11.555555555555555,29,2,1
37,1,21.27777777777778,27,0,0
38,1,7.611111111111112,17,12,19
39,1,9.277777777777779,21,33,40
40,1,14.055555555555554,23,12,22
41,1,16.055555555555557,29,1,8
42,1,10.777777777777779,23,17,27
43,1,3.3888888888888893,8,1,2
44,0,13.61111111111111,31,0,0
45,1,7.277777777777778,17,0,4
46,1,6.722222222222222,16,2,4
47,1,10.944444444444445,29,0,4
48,1,13.277777777777777,25,0,3
49,1,7.611111111111112,22,2,13
50,1,15.222222222222223,28,1,7
51,1,4.055555555555555,14,2,3
52,1,9.61111111111111,27,5,15
53,1,19.166666666666668,33,0,2
54,1,36.5,43,1,4
55,1,10.0,23,1,10
56,1,15.166666666666668,34,50,17
57,1,22.72222222222222,33,15,15
58,1,54.333333333333336,75,1,0
59,1,20.166666666666664,40,15,14
