,flag,perclose,eye_total,mouse_total,node_total
0,1,21.104972375690608,25,0,0
1,1,23.204419889502763,33,0,0
2,1,25.74585635359116,33,0,0
3,1,32.15469613259668,32,0,0
4,0,14.806629834254142,8,0,0
5,1,20.773480662983427,18,5,0
6,1,19.005524861878452,12,4,0
7,1,20.441988950276244,21,1,0
8,1,22.5414364640884,24,1,0
9,1,20.773480662983427,26,1,1
10,1,24.30939226519337,20,0,0
11,1,16.795580110497237,19,0,0
12,1,25.635359116022098,28,0,0
13,1,21.43646408839779,25,0,0
14,1,28.618784530386744,30,0,0
15,1,33.14917127071823,36,0,0
16,1,31.712707182320443,34,0,0
17,1,41.32596685082873,53,0,0
18,1,44.41988950276243,42,1,0
19,1,43.86740331491713,51,0,0
20,1,15.469613259668508,10,0,0
21,1,22.320441988950275,21,0,0
22,1,29.171270718232044,25,0,0
23,1,46.96132596685083,57,1,0
24,1,30.165745856353592,29,0,0
25,1,29.944751381215468,33,0,0
26,1,22.65193370165746,18,0,0
27,1,19.116022099447513,23,0,0
28,1,24.41988950276243,29,1,0
29,1,22.209944751381215,19,2,1
30,0,10.276243093922652,11,0,0
31,1,12.486187845303867,6,5,0
32,1,22.320441988950275,17,1,0
33,1,26.298342541436465,26,0,0
34,1,18.121546961325965,17,1,0
35,1,23.977900552486187,23,5,0
36,1,24.64088397790055,25,0,0
37,1,16.464088397790057,16,1,0
38,1,30.939226519337016,39,0,0
39,1,24.861878453038674,21,10,1
40,1,30.165745856353592,38,2,0
41,1,29.83425414364641,42,3,0
42,1,16.243093922651934,11,10,0
43,1,15.91160220994475,16,15,0
44,1,16.795580110497237,24,8,0
45,1,18.895027624309392,19,1,0
46,1,22.76243093922652,29,0,0
47,1,27.18232044198895,37,0,0
48,1,15.469613259668508,17,3,0
49,1,38.453038674033145,65,0,0
50,1,26.40883977900553,29,0,0
51,1,20.773480662983427,20,0,0
52,1,24.53038674033149,35,0,0
53,1,38.232044198895025,51,0,0
54,1,31.16022099447514,50,0,0
55,1,37.90055248618784,53,0,0
56,1,41.21546961325967,57,0,0
57,1,39.226519337016576,65,0,0
58,1,42.76243093922652,50,0,0
59,1,49.06077348066298,60,0,0
